"year","Apples","Bananas","Grapes","PeachesNectarines","Strawberries","OtherBerries","Citrus","Melons","OtherFruit","Pears","Tomatoes","Carrots","Broccoli","Spinach","Lettuce","StringBeans","Cabbage","Onions","Corn","OtherVeg","Potatoes"
1998,0.0550338574316843,0.126909372313676,0.0396894313532602,0.0343882346062205,0.0386914289661022,0.0286195948644334,0.0186953314482808,0.0379619169516156,0.121868218588531,0.0149859755438253,0.111178675969639,0.0142366202975099,0.0299725448696256,0.013122613455944,0.0636330096777203,0.0425360744786399,0.00679871490561883,0.007955432857737,0.0175056051160692,0.129296730424325,0.0469206158795422
1999,0.06875106010435,0.12876850112864,0.0421216521521434,0.0331531930779062,0.0394171700999295,0.0340455492679614,0.0344440814591309,0.0342595332187743,0.126565202555147,0.0157326333595217,0.0826826684977757,0.019891718179858,0.0242688760196189,0.0119054787588799,0.0529365530010713,0.0410409538553703,0.00604270659674888,0.00602293451228566,0.0174522461492085,0.132889319668179,0.0476079683374986
2000,0.0566888938060084,0.130683958610766,0.0407421484586726,0.0315679657209301,0.0339262132225656,0.0378735660054526,0.0137911897142998,0.0336026620347979,0.146895723847933,0.0128425987286434,0.0970758805470543,0.0153042656690405,0.031000264474171,0.0116371635125908,0.0665166069858957,0.0370981520264294,0.00648987541891674,0.0068617140240021,0.018850138174371,0.134469516707491,0.0360815023099675
2001,0.0683382184294934,0.129256849825338,0.0407135457752493,0.0329022865061718,0.0371287293027736,0.0336368288860387,0.0177686576958191,0.0338487886925999,0.126236818337151,0.0125211592042039,0.0888882606119905,0.0187192093296749,0.0246721427384009,0.0111100296219385,0.0625182284974773,0.036720229032974,0.00662500540693119,0.00614254800237089,0.01861776786512,0.124740492073485,0.0688942041647974
2002,0.0715957135497154,0.136012108073013,0.0376403018582105,0.0304963790058358,0.0324765251900565,0.0335748093518385,0.0193128136864092,0.0323264756755004,0.141124757976684,0.0125847449474981,0.0870661581504144,0.0194430280753421,0.0271850282502656,0.0109052457857846,0.0710129994290253,0.0361192701301163,0.00593075924556503,0.00645935713648871,0.0170464274292506,0.114740298893368,0.0569467981596179
2003,0.0829634617165176,0.140171908452189,0.0341070551492689,0.0233374717323126,0.0534464969827096,0.0266805679783591,0.0119365699311805,0.0291288536310312,0.106388082737947,0.0113200132264825,0.106303187138135,0.0159337315832795,0.0256159321113764,0.013938730761758,0.0729673330116952,0.0518283826035644,0.00439131353100514,0.00702453129210203,0.0199545534298198,0.120592982468848,0.0419688405304185
2004,0.057840843783696,0.167490463262343,0.0378619790482167,0.0219699087383702,0.0487989417346794,0.0268977572040999,0.015789977656813,0.0265363135933781,0.127027511273183,0.0135940617195358,0.106851199636617,0.0170206761271323,0.0260026355363529,0.00838429811511199,0.0643764782638699,0.0476055801733017,0.0043244509430801,0.00456250827475714,0.0199507344067899,0.118601705785858,0.0385119747228139
2005,0.062419941546869,0.128956497993633,0.0259513187762441,0.0284949205515877,0.0446222158529121,0.0536355296768589,0.0199013257775956,0.0269144952866925,0.187605929276626,0.0112510151772087,0.0862020626799572,0.0170810962554796,0.0228278158249067,0.00761917110586263,0.0536412907301193,0.0434218283887739,0.00360839547374237,0.00469004726528841,0.0180544693420767,0.104362395724674,0.0487382372928921
2006,0.0761502537449337,0.134477947211628,0.0419409025668618,0.0289210388875152,0.0436863125843093,0.062733772807422,0.0208164988530055,0.0241587962704066,0.154742452599895,0.0120392931170347,0.08480613653121,0.0156545268638149,0.0252188733954656,0.00933512953476374,0.0549480189357848,0.0374935986670114,0.00349518859204959,0.00568928501232524,0.0175548276911059,0.100602066688718,0.045535079444739
2007,0.12772965719976,0.12071171548616,0.0422956198331398,0.0262225345291306,0.0532049720686671,0.0384849895629108,0.0267456959784741,0.0213683807475348,0.135633132339334,0.0134706609448907,0.0723843243848821,0.0160718949550703,0.0191727999041805,0.00881860084655107,0.059069495401935,0.0509492655805532,0.00472276940785557,0.00402577290626829,0.015513373040822,0.0973999820346655,0.0460043628472148
